"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Devin Vassell","San","G-F","24.3","8","23.5","28.1","12.2","20","0.9","52","0.558","48","0.458","0.62","0.653","17.8","1.6","2.6","1.3","0.4","1.8","19.4","20.4","22","7.1","117.9","108"
"","O.G. Anunoby","Nyk","F-G","27.4","22","36.4","19.1","8.4","57","0.842","167","0.575","128","0.391","0.58","0.609","17.7","5.1","2","1.5","1","1.2","22.8","19.7","24.8","6.2","120.3","110.4"
"","Jaden Ivey","Det","G","22.8","23","30.6","26.5","17.7","102","0.735","208","0.486","113","0.381","0.516","0.555","17.7","4.2","4.3","1","0.4","3","21.8","21.9","26.1","8.9","106.5","109.9"
"","Tyrese Haliburton","Ind","G","24.8","23","35.2","21.8","12","76","0.855","132","0.538","198","0.333","0.515","0.557","17.6","3.4","8.4","1.3","0.5","2","21","26","29.4","9","119.3","118.3"
"","Andrew Wiggins","Gol","F","29.8","19","29.1","22.6","7.9","83","0.759","144","0.486","100","0.43","0.551","0.592","17.5","4.5","2.4","0.9","0.7","1.1","22","19.9","24.4","7.9","121.7","107.6"
"","Trey Murphy III","Nor","F","24.5","10","32.7","23.3","9.6","32","0.844","69","0.507","81","0.321","0.493","0.533","17.5","4.6","2.3","0.8","0.6","1.6","22.1","19.8","24.4","7","107.6","116.7"
"","Collin Sexton","Uta","G","25.9","21","28.3","24.2","16.9","80","0.888","166","0.512","89","0.427","0.557","0.612","16.9","2.6","3.2","0.7","0.1","2.5","19.5","20.1","22.7","7.3","115.1","117.2"
"","Anfernee Simons","Por","G","25.5","19","30.4","24.9","14.8","55","0.891","134","0.478","142","0.331","0.487","0.53","16.7","2.5","4.4","0.9","0.1","2.5","19.3","21.2","23.7","7.5","106.1","116.5"
"","Austin Reaves","Lal","G","26.5","19","33.7","21.9","14.7","62","0.774","109","0.55","141","0.355","0.54","0.573","16.7","3.5","4.8","1.1","0.2","2.3","20.3","21.6","25.1","7.8","111","115.4"
"","Mikal Bridges","Nyk","G-F","28.3","22","38.2","19","9.6","19","0.632","171","0.596","149","0.329","0.548","0.553","16.5","3.6","3.4","1","0.5","1.5","20.1","19.9","23.5","6.1","111.1","116.5"
"","Payton Pritchard","Bos","G","26.9","22","28.3","20.5","9","40","0.875","58","0.69","194","0.428","0.653","0.675","16.5","3.2","3","1.1","0.1","1.1","19.7","19.5","22.7","7.6","133.1","109.1"
"","Jared McCain","Phi","G","20.8","20","25.7","26.2","11","56","0.875","130","0.546","120","0.383","0.56","0.599","16.5","2.7","2.6","0.6","0","1.6","19.1","19","21.7","7.6","116.3","114.4"
"","Chet Holmgren","Okc","C-F","22.6","10","26.5","25","17.1","49","0.776","74","0.568","37","0.378","0.568","0.619","16.4","8.7","2","0.8","2.6","2.3","25.1","18.4","27.1","9.9","113.6","98.2"
"","Jakob Poeltl","Tor","C","29.1","22","32.7","19.4","16.4","77","0.649","253","0.597","1","0","0.594","0.611","16","11.8","2.5","1.1","1.3","2.3","27.8","18.5","30.3","9.5","116.7","104.5"
"","Fred VanVleet","Hou","G","30.8","22","35.2","19.6","7.8","59","0.831","149","0.47","168","0.321","0.476","0.512","16","4.2","5.9","1.5","0.5","1.2","20.1","21.8","26","8.3","116.3","103.4"
"","Miles Bridges","Cha","F","26.7","11","30.1","22.5","9.3","33","0.848","77","0.494","69","0.348","0.507","0.548","16","6.5","3","0.6","0.5","1.4","22.5","19","25.5","9","115","113.9"
"","Malik Monk","Sac","G","26.8","16","28.2","22.1","8.5","44","0.841","96","0.542","97","0.392","0.565","0.6","15.9","3.3","4.5","0.8","0.5","1.1","19.2","20.4","23.7","8.8","123.4","109.3"
"","Paul George","Phi","F","34.6","10","29.5","26.8","18.1","33","0.818","70","0.471","65","0.338","0.489","0.532","15.9","5.3","5.1","2.1","0.3","3","21.2","21","26.3","10.2","103.8","106.7"
